"refactoringname","count"
"Add Attribute Annotation","196614"
"Add Attribute Modifier","449536"
"Add Class Annotation","269020"
"Add Class Modifier","90864"
"Add Method Annotation","1226146"
"Add Method Modifier","209182"
"Add Parameter","1127322"
"Add Parameter Annotation","269014"
"Add Parameter Modifier","478474"
"Add Thrown Exception Type","218584"
"Add Variable Annotation","19104"
"Add Variable Modifier","491064"
"Change Attribute Access Modifier","534176"
"Change Attribute Type","999414"
"Change Class Access Modifier","120462"
"Change Method Access Modifier","715680"
"Change Parameter Type","1839682"
"Change Return Type","1268006"
"Change Thrown Exception Type","98940"
"Change Type Declaration Kind","23898"
"Change Variable Type","2034470"
"Collapse Hierarchy","4802"
"Convert Anonymous Class to Type","69838"
"Encapsulate Attribute","174520"
"Extract And Move Method","206154"
"Extract Attribute","57786"
"Extract Class","79380"
"Extract Interface","26146"
"Extract Method","577538"
"Extract Subclass","11794"
"Extract Superclass","47768"
"Extract Variable","542826"
"Inline Attribute","6500"
"Inline Method","109798"
"Inline Variable","229320"
"Invert Condition","19094"
"Localize Parameter","61884"
"Merge Attribute","12576"
"Merge Catch","5936"
"Merge Class","5610"
"Merge Conditional","26260"
"Merge Method","2000"
"Merge Package","5334"
"Merge Parameter","31970"
"Merge Variable","10552"
"Modify Attribute Annotation","92054"
"Modify Class Annotation","160558"
"Modify Method Annotation","225318"
"Modify Parameter Annotation","22300"
"Modify Variable Annotation","542"
"Move And Inline Method","72666"
"Move And Rename Attribute","34700"
"Move And Rename Class","106840"
"Move And Rename Method","139202"
"Move Attribute","339836"
"Move Class","1371220"
"Move Method","611742"
"Move Package","25830"
"Move Source Folder","12172"
"Parameterize Attribute","19454"
"Parameterize Variable","91488"
"Pull Up Attribute","130538"
"Pull Up Method","282684"
"Push Down Attribute","43212"
"Push Down Method","110518"
"Remove Attribute Annotation","116578"
"Remove Attribute Modifier","221900"
"Remove Class Annotation","141302"
"Remove Class Modifier","52956"
"Remove Method Annotation","490896"
"Remove Method Modifier","154534"
"Remove Parameter","618532"
"Remove Parameter Annotation","107886"
"Remove Parameter Modifier","133076"
"Remove Thrown Exception Type","243184"
"Remove Variable Annotation","8892"
"Remove Variable Modifier","131040"
"Rename Attribute","568706"
"Rename Class","259560"
"Rename Method","1076640"
"Rename Package","26222"
"Rename Parameter","874628"
"Rename Variable","919950"
"Reorder Parameter","22984"
"Replace Anonymous With Lambda","71292"
"Replace Attribute","1758"
"Replace Attribute With Variable","70900"
"Replace Loop With Pipeline","13966"
"Replace Pipeline With Loop","4512"
"Replace Variable With Attribute","116876"
"Split Attribute","8026"
"Split Class","3372"
"Split Conditional","36478"
"Split Method","5826"
"Split Package","6870"
"Split Parameter","10942"
"Split Variable","1536"
