"refactoringname","count"
"Add Attribute Annotation","166704"
"Add Attribute Modifier","298374"
"Add Class Annotation","206009"
"Add Class Modifier","58100"
"Add Method Annotation","812332"
"Add Method Modifier","137117"
"Add Parameter","768765"
"Add Parameter Annotation","288789"
"Add Parameter Modifier","327087"
"Add Thrown Exception Type","153955"
"Add Variable Annotation","11799"
"Add Variable Modifier","317103"
"Change Attribute Access Modifier","376986"
"Change Attribute Type","648790"
"Change Class Access Modifier","83832"
"Change Method Access Modifier","501408"
"Change Parameter Type","1129197"
"Change Return Type","861303"
"Change Thrown Exception Type","67316"
"Change Type Declaration Kind","15079"
"Change Variable Type","1288726"
"Collapse Hierarchy","3004"
"Convert Anonymous Class to Type","37817"
"Encapsulate Attribute","120857"
"Extract And Move Method","139088"
"Extract Attribute","42333"
"Extract Class","53110"
"Extract Interface","16719"
"Extract Method","403589"
"Extract Subclass","7179"
"Extract Superclass","31984"
"Extract Variable","361235"
"Inline Attribute","3999"
"Inline Method","68652"
"Inline Variable","141693"
"Invert Condition","11840"
"Localize Parameter","39220"
"Merge Attribute","9370"
"Merge Catch","4385"
"Merge Class","3784"
"Merge Conditional","15587"
"Merge Method","1468"
"Merge Package","3206"
"Merge Parameter","19688"
"Merge Variable","6647"
"Modify Attribute Annotation","79318"
"Modify Class Annotation","119408"
"Modify Method Annotation","185815"
"Modify Parameter Annotation","18494"
"Modify Variable Annotation","375"
"Move And Inline Method","35419"
"Move And Rename Attribute","37708"
"Move And Rename Class","69936"
"Move And Rename Method","92844"
"Move Attribute","226908"
"Move Class","645676"
"Move Method","386275"
"Move Package","16497"
"Move Source Folder","8492"
"Parameterize Attribute","14671"
"Parameterize Variable","60923"
"Pull Up Attribute","91453"
"Pull Up Method","180050"
"Push Down Attribute","22864"
"Push Down Method","59316"
"Remove Attribute Annotation","107006"
"Remove Attribute Modifier","159141"
"Remove Class Annotation","111459"
"Remove Class Modifier","33884"
"Remove Method Annotation","339429"
"Remove Method Modifier","100110"
"Remove Parameter","411294"
"Remove Parameter Annotation","88901"
"Remove Parameter Modifier","88791"
"Remove Thrown Exception Type","168104"
"Remove Variable Annotation","6302"
"Remove Variable Modifier","83816"
"Rename Attribute","425883"
"Rename Class","178435"
"Rename Method","736552"
"Rename Package","17420"
"Rename Parameter","581388"
"Rename Variable","593804"
"Reorder Parameter","15225"
"Replace Anonymous With Lambda","57930"
"Replace Attribute","1294"
"Replace Attribute With Variable","51152"
"Replace Loop With Pipeline","7862"
"Replace Pipeline With Loop","2612"
"Replace Variable With Attribute","83794"
"Split Attribute","5373"
"Split Class","2364"
"Split Conditional","24303"
"Split Method","4558"
"Split Package","4272"
"Split Parameter","7307"
"Split Variable","979"
