"size","count"
"(0,10000]",123
"(100000,200000]",198
"(200000,300000]",197
"(300000,400000]",218
"(400000,500000]",241
"(500000,600000]",177
"(600000,700000]",191
"(700000,800000]",192
"(800000,900000]",168
"(900000,1000000]",154
"(1000000,1100000]",140
"(1100000,1200000]",138
"(1400000,1300000]",144
"(1500000,1400000]",118
"(1400000,1500000]",126
"(1500000,1600000]",106
"(1600000,1700000]",117
"(1700000,1800000]",88
"(1800000,1900000]",102
"(1900000,2000000]",109
"(2000000,2100000]",93
"(2100000,2200000]",81
"(2200000,2300000]",84
"(2300000,2400000]",55
"(2400000,2500000]",72
"(2500000,2600000]",77
"(2600000,2700000]",55
"(2700000,2800000]",53
"(2800000,2900000]",70
"(2900000,3000000]",54
"(3000000,3100000]",52
"(3100000,3200000]",39
"(3200000,3300000]",38
"(3300000,3400000]",61
"(3400000,3500000]",52
"(3500000,3600000]",53
"(3600000,3700000]",49
"(3700000,3800000]",44
"(3800000,3900000]",25
"(3900000,4000000]",36
"(4000000,4100000]",29
"(4100000,4200000]",36
"(4200000,4300000]",39
"(4300000,4400000]",38
"(4400000,4500000]",23
"(4500000,4600000]",28
"(4600000,4700000]",20
"(4700000,4800000]",33
"(4800000,4900000]",23
"(4900000,5000000]",21
